"","1-b","1-m","10-b","10-m","5-b","5-m","s-b","s-m"
"Cre02.g115550.t1.2.v5.5",0,0,23.9403821573895,0,4.10244375789672,6.94436468240304,0,0
"Cre02.g115567.t1.1.v5.5",0,0,3.77631028077871,7.11324271789119,0.256402734868545,0,0,0
"Cre02.g115583.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g115600.t1.1.v5.5",14.8569116589325,0,20.1640718766108,13.8200144233315,11.281720334216,12.4998564283255,0,0
"Cre02.g115650.t1.2.v5.5",0,0,7.90887624842333,12.6006013859787,0,0.462957645493536,0,0
"Cre02.g115700.t1.2.v5.5",0,0,0,6.5035361992148,5.76906153454226,9.25915290987071,0,0
"Cre02.g115750.t1.1.v5.5",0,0,38.2618607693994,26.4206158093101,20.255816054615,11.1109834918449,0,0
"Cre02.g115800.t1.1.v5.5",0,142.331850742329,37.9056050825335,46.13445991318,40.8962362115329,24.5367552111574,0,0
"Cre02.g115850.t1.2.v5.5",0,0,2.20878525856868,0,0.128201367434272,0,0,0
"Cre02.g115900.t1.2.v5.5",0,0,3.20630118179324,6.30030069298934,6.79467247401644,0,0,0
"Cre02.g115950.t1.2.v5.5",4.95230388631083,292.516493249752,192.805577731834,167.466057129781,87.5615339576081,63.4251974326144,29.562243804924,10.5301139331799
"Cre02.g116000.t1.1.v5.5",0,0,14.9627388483685,15.6491339793606,5.89726290197653,0,0,0
"Cre02.g116050.t1.1.v5.5",4.95230388631083,0.981598970636752,6.27010008884012,6.09706518676388,0.128201367434272,9.72211055536425,0,0
"Cre02.g116100.t1.1.v5.5",4.95230388631083,12.7607866182778,10.1889126443652,0.406471012450925,1.66661777664554,2.77774587296121,39.416325073232,1737.46879897468
"Cre02.g116150.t1.1.v5.5",0,0.981598970636752,4.91632847874964,1.21941303735278,1.53841640921127,0,0,31.5903417995396
"Cre02.g116200.t1.2.v5.5",0,2.94479691191026,0,0,4.61524922763381,6.94436468240304,0,10.5301139331799
"Cre02.g116250.t1.1.v5.5",0,0,1.92378070907595,0.203235506225463,15.8969695618498,0,0,0
"Cre02.g116300.t1.2.v5.5",0,0,15.8890036342199,17.2750180291643,14.4867545200728,0,0,0
"Cre02.g116350.t1.2.v5.5",0,0,0,0,0,0,9.854081268308,0
"Cre02.g116400.t1.1.v5.5",782.464014037111,0,15.6752502221003,7.31647822411665,11.6663244365188,15.7405599467802,0,0
"Cre02.g116450.t1.2.v5.5",0,0,39.686883516863,19.5106085976444,14.7431572549413,11.1109834918449,0,0
"Cre02.g116500.t1.1.v5.5",0,0,18.667797991774,6.30030069298934,26.7940857937629,34.7218234120152,0,0
"Cre02.g116550.t1.2.v5.5",0,0,0,0,0,0.925915290987071,0,0
"Cre02.g116600.t1.2.v5.5",0,0.981598970636752,14.6777342988757,2.03235506225463,10.1279080273075,0,0,0
"Cre02.g116600.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g116650.t1.2.v5.5",0,334.725248987133,84.5038489245953,178.237538959731,119.868278551045,130.554056029177,0,0
"Cre02.g116700.t1.2.v5.5",0,0,6.84010918782559,2.64206158093101,8.07668614835916,64.814070369095,0,0
"Cre02.g116750.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g116750.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g116800.t1.1.v5.5",4.95230388631083,2.94479691191026,5.34383530298874,0,12.4355326411244,0,29.562243804924,0
"Cre02.g116850.t1.2.v5.5",0,0,3.84756141815189,5.48735866808749,0.256402734868545,0,0,0
"Cre02.g116900.t1.2.v5.5",0,0,0,0,0,0,0,0
