"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cre11.g467400.t1.2.v5.5",126.784892695479,-4.44377594482061,1.49719824439905,-2.96806115118327,0.00299684702602878,0.794419512708351
"Cre01.g003000.t1.1.v5.5",30.159243257738,-4.26507258894475,1.45176797791203,-2.93784726887204,0.00330499797279198,0.808194599313489
"Cre01.g020650.t1.1.v5.5",15.2065850893899,-4.48583617735897,1.52388941589865,-2.94367565688068,0.00324339708864137,0.808194599313489
"Cre02.g095095.t1.1.v5.5",179.646789380635,3.95695281668589,1.34702986444193,2.93753904136731,0.00330828514045974,0.808194599313489
"Cre13.g605050.t1.1.v5.5",17.0930486003228,-4.42807937932442,1.50343504160646,-2.94530808234515,0.00322633232867026,0.808194599313489
"Cre01.g038800.t1.2.v5.5",8.37111498165367,-4.40721677256446,1.54567750279895,-2.8513171503006,0.00435385192099927,0.820199167458811
"Cre03.g144404.t1.1.v5.5",7.02816992964794,-4.32701313260978,1.51042887845744,-2.86475794678187,0.00417328108127671,0.820199167458811
"Cre04.g217950.t1.2.v5.5",7.66061123355359,-4.37468518104532,1.5187424639833,-2.88046544084345,0.00397088482696163,0.820199167458811
"Cre05.g234660.t1.1.v5.5",174.42923182994,3.79437426658712,1.32410587694647,2.86561243526638,0.00416203444818152,0.820199167458811
"Cre06.g278249.t1.1.v5.5",8.08519578960435,-4.34220628277995,1.52830760509287,-2.84118607295427,0.00449460791343845,0.820199167458811
"Cre06.g285550.t1.1.v5.5",14.1529323212948,-4.43478766447868,1.53147776703519,-2.89575713075095,0.00378245011547563,0.820199167458811
"Cre06.g309951.t1.1.v5.5",211.469737951535,-3.58187233967887,1.24327456009554,-2.88099865841671,0.00396417327839798,0.820199167458811
"Cre06.g311250.t1.1.v5.5",207.104732597608,-3.46968767545256,1.21569895588243,-2.8540681545079,0.00431632702883093,0.820199167458811
"Cre07.g325950.t1.2.v5.5",86.0082383686074,4.00309910815699,1.37263598682894,2.91635885010195,0.00354142922817663,0.820199167458811
"Cre07.g349450.t1.1.v5.5",14.3632602838794,-4.5467682715152,1.58792698906621,-2.86333584782066,0.00419205964778764,0.820199167458811
"Cre10.g445700.t1.1.v5.5",10.2396547172811,-4.11621189689493,1.43018880566227,-2.87808985820503,0.00400091157176273,0.820199167458811
"Cre12.g543052.t1.1.v5.5",7.38892214124064,-4.41312809112317,1.50923295977675,-2.92408674388874,0.0034546846065322,0.820199167458811
"Cre13.g576500.t1.1.v5.5",132.734043496091,3.92567367733007,1.38010934931148,2.84446567896127,0.00444859781448318,0.820199167458811
