"","1-b","1-t","10-b","10-t","5-b","5-t","s-b","s-t"
"Cre08.g368900.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368950.t1.2.v5.5",0,0,46.7652925603996,83.3339734536082,75.0269713607131,7.2932743829805,0,0
"Cre08.g369000.t1.1.v5.5",632.01692531882,118.365694700537,10.2080955775499,5.37334444214442,11.3880224386797,72.0210845319325,0,0
"Cre08.g369050.t1.2.v5.5",0,0,0,0,0,3.64663719149025,0,0
"Cre08.g369100.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g369150.t1.1.v5.5",91.8315190634183,99.9145717031,14.3087835445999,18.571032545657,8.03860407436212,0.911659297872563,0,0
"Cre08.g369200.t1.1.v5.5",0,90.5149430062926,3.66444456629997,14.6117261146032,0.334941836431755,0,20.6573887059505,67.8728627901534
"Cre08.g369250.t1.2.v5.5",0,53.9608314075975,26.1746040449998,22.1532621737533,12.2253770297591,0,20.6573887059505,0
"Cre08.g369300.t1.2.v5.5",5.40185406255402,0,50.6914831671496,66.0827097183024,53.5906938290808,93.900907680874,0,0
"Cre08.g369350.t1.1.v5.5",0,0,8.46312197454993,3.29942202587815,6.6988367286351,0,0,0
"Cre08.g369400.t1.2.v5.5",0,88.7742710254024,14.5705295850499,18.4767633449177,6.53136581041922,102.105841361727,0,11.3121437983589
"Cre08.g369451.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g369500.t1.2.v5.5",5.40185406255402,0,28.7048157693498,73.0586305730162,38.8532530260836,0.911659297872563,0,11.3121437983589
"Cre08.g369550.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g369600.t1.1.v5.5",0,0.348134396178049,13.3490480629499,10.4638812820707,8.54101682900975,0,0,0
"Cre08.g369650.t1.1.v5.5",459.157595317092,1.04440318853415,34.4632286592497,22.4360697759714,35.503834661766,1.82331859574513,0,0
"Cre08.g369667.t1.1.v5.5",0,0,0,0.471346003696879,0,0,0,0
"Cre08.g369683.t1.1.v5.5",0,0,0,0.0942692007393758,0,0,0,0
"Cre08.g369700.t1.2.v5.5",0,0,4.27518532734997,0.565615204436255,0.167470918215878,0,30.9860830589257,11.3121437983589
"Cre08.g369720.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g369720.t2.1.v5.5",0,0,0.174497360299999,0.0942692007393758,0,0,0,0
"Cre08.g369740.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g369740.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g369800.t1.2.v5.5",5.40185406255402,0,0,0.188538401478752,0,0,0,0
"Cre08.g369850.t1.1.v5.5",5.40185406255402,0,45.4565623581496,17.062725333827,23.1109867137911,2.73497789361769,10.3286943529752,45.2485751934356
"Cre08.g369900.t1.2.v5.5",16.2055621876621,0,2.53021172434998,0.942692007393758,0.334941836431755,0,0,0
"Cre08.g369950.t1.1.v5.5",0,0.348134396178049,19.0202122726999,13.1976881035126,6.19642397398747,0,51.6434717648762,22.6242875967178
"Cre08.g369976.t1.1.v5.5",0,0,0,0.848422806654382,3.18194744610167,0,0,0
"Cre08.g370000.t1.1.v5.5",32.4111243753241,0,3.05370380524998,2.16819161700564,2.67953469145404,1.82331859574513,0,11.3121437983589
"Cre08.g370050.t1.1.v5.5",37.8129784378781,0,47.2015359611496,14.8945337168214,6.36389489220335,1.82331859574513,10.3286943529752,0
"Cre08.g370083.t1.1.v5.5",0,0,0.0872486801499993,0,0,0,0,0
"Cre08.g370116.t1.1.v5.5",32.4111243753241,0.696268792356097,0.436243400749997,2.26246081774502,0.167470918215878,0,20.6573887059505,0
"Cre08.g370150.t1.1.v5.5",0,0,17.4497360299999,3.1108836243994,7.87113315614624,0,0,0
"Cre08.g370200.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g370200.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g370250.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g370250.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g370300.t1.2.v5.5",0,0,3.31544984569997,5.4676136428838,2.84700560966992,0,0,0
"Cre08.g370350.t1.2.v5.5",0,0,16.0537571475999,18.2882249434389,20.9338647769847,0,0,0
"Cre08.g370401.t1.1.v5.5",5.40185406255402,230.464970269868,23.3826462801998,13.8575725086882,24.1158122230864,0,3955.88993718952,0
"Cre08.g370450.t1.2.v5.5",896.707774383967,0.348134396178049,23.2081489198998,44.7778703512035,79.7161570707577,0.911659297872563,0,2624.41736121927
"Cre08.g370500.t1.1.v5.5",0,0,12.6510586217499,6.5988440517563,5.1915984646922,0,0,0
"Cre08.g370550.t1.1.v5.5",5.40185406255402,0,34.6377260195497,41.6669867268041,21.1013356952006,73.8444031276776,268.546053177356,0
"Cre08.g370601.t1.1.v5.5",0,167.800778957819,30.7115354127998,19.9850705567477,22.1061612044958,0,10.3286943529752,0
"Cre08.g370650.t1.2.v5.5",0,0,13.0873020224999,20.7392241626627,6.53136581041922,0,0,0
"Cre08.g370700.t1.2.v5.5",5.40185406255402,0,1.39597888239999,0,2.17712193680641,0,0,0
"Cre08.g370750.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g370750.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g370850.t1.1.v5.5",10.803708125108,98.5220341183878,85.5909552271493,148.568260365256,60.9594142305794,0,0,0
"Cre08.g370900.t1.1.v5.5",1366.66907782617,338.038498688885,16.5772492284999,5.65615204436255,85.5776392083134,335.490621617103,0,0
"Cre08.g370950.t1.2.v5.5",0,0,0,0.848422806654382,0,0,0,0
