"","1-m","1-t","10-m","10-t","5-m","5-t","s-m","s-t"
"Cre01.g006250.t1.2.v5.5",0,0,0,0.163016297125709,0,0,0,0
"Cre01.g006301.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006352.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006402.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006450.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006450.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006500.t1.1.v5.5",0,0,0,0.163016297125709,0,0,0,11.63906809883
"Cre01.g006550.t1.1.v5.5",141.071042258065,168.688653131505,156.973465370444,122.180714695719,53.2590555012589,135.579910525033,0,0
"Cre01.g006576.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006600.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006614.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006628.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006628.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006642.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006656.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006670.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006700.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006733.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006766.t1.1.v5.5",0,0.304492153666977,0,0,0,3.41081535912033,0,0
"Cre01.g006800.t1.1.v5.5",0,0,14.8758446673546,14.8344830384395,5.23080009387364,0,0,2851.57168421336
"Cre01.g006850.t1.2.v5.5",0,0,11.3234041497774,14.5084504441881,0,0,0,0
"Cre01.g006876.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006900.t1.1.v5.5",0,0,0,0.163016297125709,0,0.852703839780082,0,0
"Cre01.g006900.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006950.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g006950.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007000.t1.2.v5.5",3.08914691076054,0,11.3234041497774,6.11311114221409,13.3147638753147,0,0,11.63906809883
"Cre01.g007050.t1.2.v5.5",0,76.7320227240782,9.76921142333738,9.29192893616541,0,0,0,0
"Cre01.g007051.t1.2.v5.5",7057.67097545091,5161.75098896259,4241.61397798721,3030.14693097268,5382.01776931471,11725.5305008159,28314.046735297,13827.2129014101
"Cre01.g007100.t1.1.v5.5",0,0,7.99299116454876,14.019401552811,9.03501834396356,134.727206685253,0,0
"Cre01.g007150.t1.1.v5.5",124.595592067342,58.1580013503926,14.4317896026575,22.5777571519107,6.18185465639612,0,0,0
"Cre01.g007200.t1.2.v5.5",167.843648817989,0,55.7289106194928,29.1799171855019,36.1400733758542,0.852703839780082,0,0
"Cre01.g007251.t1.1.v5.5",9.26744073228162,0.304492153666977,7.99299116454876,16.1386134154452,14.2658184378372,7.67433455802074,0,0
"Cre01.g007300.t1.2.v5.5",0,0,17.7622025878861,7.25422522209405,0,0,0,0
"Cre01.g007350.t1.2.v5.5",1.02971563692018,122.710337927792,32.8600747875894,14.5084504441881,9.98607290648604,0,0,0
"Cre01.g007400.t1.1.v5.5",8.23772509536144,0,5.772715841063,1.30413037700567,0,0.852703839780082,0,69.8344085929802
"Cre01.g007450.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007500.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007500.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007550.t1.1.v5.5",0,87.3892481024224,3.99649558227438,11.4926489473625,9.98607290648604,99.7663492542696,0,0
"Cre01.g007600.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007600.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007651.t1.1.v5.5",0,0,10.8793490850803,8.2323230048483,0,0,20.3332472066765,128.02974908713
"Cre01.g007700.t1.1.v5.5",0,71.5556561117396,23.5349184289491,48.2528239492099,39.4687643446829,0,1199.66158519391,0
"Cre01.g007737.t1.1.v5.5",145.189904805745,51.4591739697191,2.44230285583434,8.63986374766258,0,1.70540767956016,0,0
"Cre01.g007774.t1.1.v5.5",47.3669192983283,0,32.8600747875894,19.8064801007736,0.47552728126124,0.852703839780082,0,256.059498174261
"Cre01.g007811.t1.1.v5.5",0,1.52246076833488,32.8600747875894,17.5242519410137,13.3147638753147,0,20.3332472066765,0
"Cre01.g007850.t1.2.v5.5",459.2531740664,119.969908544789,37.5226529669095,24.5339527174192,50.4058918136914,102.32446077361,10.1666236033383,0
"Cre01.g007901.t1.1.v5.5",0,0,0,0.244524445688563,0,0,0,0
"Cre01.g007901.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007901.t3.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g007950.t1.1.v5.5",310.974122349894,0,14.6538171350061,45.4815468980728,51.8324736574751,0,0,0
"Cre01.g008000.t1.2.v5.5",105.030994965858,0,13.7657070056118,4.64596446808271,12.8392365940535,0,0,0
"Cre01.g008051.t1.1.v5.5",0,97.7419813270996,30.417771931755,15.2420237812538,0.47552728126124,75.8906417404273,0,0
"Cre01.g008100.t1.2.v5.5",0,0,0.222027532348577,2.28222815975993,15.6924002816209,0.852703839780082,20.3332472066765,0
